League,index,Rk,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,RedCards,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%,InitiativePoints,DefensivePoints,RecklessPoints
Bundesliga,1521.5755258126194,1522.5755258126194,25.69980879541109,1995.8030592734226,17.956022944550668,12.87189292543021,1157.1854684512427,12.859655831739962,0.13034416826003825,1.292906309751434,0.4639388145315487,24.68374760994264,0.06793499043977055,0.2031357552581262,13.423135755258127,0.0302868068833652,0.007743785850860421,0.009483747609942639,32.39198852772466,42.14168260038241,74.02103250478011,629.3281070745697,216.16137667304014,13.215219885277248,15.563116634799236,82.87896749521988,13.68789674952199,16.375869980879543,78.71376673040153,4.808451242829828,8.286520076481835,54.28852772466539,0.09868068833652008,0.8346653919694074,2.2824856596558316,0.6886424474187381,0.19632887189292544,2.8875717017208413,42.14168260038241,38.00516252390057,4.140095602294455,0.9791586998087954,0.06539196940726578,7.280344168260038,1.032887189292543,1.0417399617590823,0.3678585086042065,0.17948374760994265,0.13250478011472275,0.009235181644359465,27.625143403441683,5.947246653919694,8.57302103250478,12.701606118546845,23.599808795411093,1.7765009560229446,1.9836711281070747,0.6296175908221797,32.39198852772466,0.13323135755258128,0.8183173996175909,1.4053537284894837,1.2780305927342255,1.8575525812619502,1.322619502868069,0.1434225621414914,0.09347992351816443,0.12302103250478012,0.10108986615678776,0.07422562141491396,0.20397705544933079,0.1381453154875717,0.011089866156787762,0.010267686424474188,0.022600382409177822,0.01682600382409178,0.004703632887189293,1.71868068833652,1.0349330783938815,0.8018164435946463,0.6950095602294455,0.22173996175908223,0.6064435946462715,1.5078011472275334,32.95009560229446,0.9013001912045889,16.14588910133843,5.028661567877629,29.2527724665392,4.553556405353729,7.1623709369024855,4.4292160611854685,1.507284894837476,0.2706692160611855,0.004760994263862332,1.237189292543021,1.4453919694072659,3.164034416826004,1.650095602294455,0.02441682600382409,54.01242829827916,5.580478011472276,17.90959847036329,24.945468451242828,14.2551051625239,2.4894263862332697,50.01166347992351,0.8703632887189292,1.6732313575525812,44.51261950286806,0.9624665391969407,0.07948374760994265,1.544493307839388,1.2793881453154876,41.20420650095602,34.02791586998087,82.86118546845124,3.540229445506692,0.16728489483747608,0.002925430210325048,0.0009177820267686425,1.358718929254302,1.178623326959847,0.2179732313575526,1.0417399617590823,1.0349330783938815,0.009483747609942639,0.008642447418738049,7.9439005736137664,1.942753346080306,2.06755258126195,40.18413001912046,4.261912045889101,3.0199043977055444,2.708470363288719
La Liga,1454.3555194805194,1455.3555194805194,26.79383116883117,1994.719155844156,19.142857142857142,13.555194805194805,1217.7483766233765,13.530357142857143,0.09663961038961039,1.1817045454545454,0.359788961038961,22.882142857142856,0.06233766233766234,0.1825974025974026,14.233441558441557,0.0338474025974026,0.007564935064935065,0.009886363636363636,31.940633116883117,40.93327922077923,75.28896103896103,615.663961038961,201.02386363636364,13.604253246753245,15.65534090909091,84.14756493506493,12.904301948051948,15.293425324675324,80.26737012987013,4.709237012987013,8.178035714285715,54.99237012987013,0.07560064935064935,0.8189448051948053,2.3017857142857143,0.7727759740259741,0.23678571428571427,2.6322077922077924,40.93327922077923,36.67727272727273,4.2547077922077925,1.094107142857143,0.07691558441558442,6.22715909090909,1.3422402597402598,1.1946103896103897,0.3825811688311689,0.13972402597402597,0.14144480519480518,0.016753246753246753,26.759821428571428,5.47810064935065,8.695665584415584,12.031525974025975,23.34474025974026,1.8265584415584417,1.9762824675324677,0.49810064935064935,31.940633116883117,0.14162337662337662,0.7832467532467533,1.2344480519480518,1.1021103896103897,1.8036201298701298,1.3207792207792208,0.15589285714285714,0.09449675324675325,0.07722402597402597,0.10938311688311687,0.04599025974025974,0.18353896103896103,0.12428571428571429,0.009805194805194805,0.008782467532467532,0.014074675324675325,0.02163961038961039,0.00487012987012987,1.6021590909090908,1.0022077922077923,0.7908928571428572,0.5838636363636364,0.22779220779220777,0.566948051948052,1.4401298701298701,33.64821428571428,0.8733441558441559,14.745974025974027,4.136948051948052,27.992694805194805,4.701038961038961,6.519853896103896,3.525194805194805,1.3542045454545455,0.257775974025974,0.004074675324675325,1.0964285714285713,1.2424675324675325,2.844561688311688,1.7200974025974025,0.02944805194805195,51.92840909090909,5.094967532467533,15.870551948051949,24.621948051948053,14.550892857142857,2.279821428571428,47.807305194805195,0.8573214285714286,1.5684577922077922,47.16331168831169,0.9378084415584417,0.09300324675324675,1.3287824675324675,1.1072727272727274,39.36073051948052,32.98689935064935,84.45925324675325,3.0058603896103895,0.3214772727272727,0.015698051948051947,0.0045292207792207795,1.5925649350649351,1.437857142857143,0.19246753246753248,1.1946103896103897,1.0022077922077923,0.019512987012987013,0.014707792207792208,7.278068181818182,1.6847402597402596,1.8366558441558443,41.65762987012987,3.9933603896103893,2.712483766233766,3.372126623376624
Ligue 1,1324.2951907131012,1325.2951907131012,25.303482587064675,1996.2039800995026,19.114427860696516,13.864013266998342,1242.910447761194,13.809784411276947,0.10852404643449419,1.1760530679933665,0.39557213930348256,22.79369817578773,0.0642620232172471,0.18388059701492537,13.712106135986732,0.040049751243781094,0.008623548922056384,0.011907131011608623,34.88039800995025,43.31008291873963,78.20563847429518,653.0313432835821,202.68258706467662,15.092504145936983,17.29948590381426,86.21293532338309,14.435605306799337,16.69,81.82669983416253,4.600713101160863,7.487412935323383,56.64427860696517,0.07839137645107795,0.8356384742951907,2.2927860696517413,0.6882752902155886,0.18817578772802654,2.642388059701492,43.31008291873963,39.29228855721393,4.017711442786069,1.001044776119403,0.06918739635157545,6.285207296849088,1.205157545605307,1.0418407960199005,0.4083747927031509,0.16459369817578773,0.15888888888888889,0.019154228855721395,30.684660033167493,5.586616915422885,7.039154228855721,12.95077943615257,25.5185903814262,1.4266832504145937,1.833548922056385,0.5612437810945273,34.88039800995025,0.11275290215588722,0.7660862354892205,1.4954560530679935,1.0837479270315091,1.7699668325041458,1.2768988391376452,0.17638474295190712,0.09918739635157546,0.08379767827529022,0.08582089552238806,0.04723051409618574,0.17903814262023218,0.12228855721393034,0.011691542288557214,0.010696517412935324,0.014029850746268658,0.015157545605306801,0.005124378109452736,1.7764842454394694,1.114162520729685,0.8063018242122719,0.6984411276948591,0.2719568822553897,0.581044776119403,1.501111111111111,31.733001658374793,0.9200829187396351,15.468971807628526,4.402072968490879,28.092703150912108,4.6404643449419565,7.031724709784411,3.7953897180762852,1.2721890547263681,0.26555555555555554,0.007180762852404644,1.0065837479270316,1.3797678275290215,3.156285240464345,1.4382587064676617,0.013996683250414593,54.482255389718084,4.799436152570481,16.322470978441128,26.995190713101163,14.604560530679933,2.2217247097844113,50.59767827529022,0.8921393034825871,1.7221724709784412,46.45091210613599,1.0006799336650083,0.07374792703150912,1.419469320066335,1.3144776119402986,43.29883913764511,36.281708126036484,84.07661691542287,3.368872305140962,0.22646766169154228,0.018059701492537314,0.007412935323383084,1.321160862354892,1.202056384742952,0.18877280265339966,1.0418407960199005,1.114162520729685,0.009485903814262023,0.011525704809286899,6.950199004975125,1.4187728026533997,1.5387230514096186,40.70033167495854,4.213980099502487,2.55150912106136,2.775157545605307
Premier League,1492.8644688644688,1493.8644688644688,26.32051282051282,1995.1391941391942,19.203296703296704,15.311355311355312,1375.6648351648353,15.283882783882785,0.1105128205128205,1.2333882783882784,0.36529304029304027,24.47893772893773,0.06901098901098901,0.2033882783882784,13.854761904761904,0.03126373626373626,0.007161172161172161,0.00924908424908425,33.429358974358976,42.03741758241758,77.11428571428571,630.91336996337,198.75838827838828,14.283406593406593,16.332289377289378,85.40238095238095,13.960457875457875,16.224120879120882,81.23241758241758,4.4496703296703295,7.666776556776558,55.53040293040293,0.09816849816849817,0.7927472527472527,2.3247619047619046,0.7084615384615385,0.16135531135531134,2.6119413919413916,42.03741758241758,38.17831501831502,3.86014652014652,0.856978021978022,0.07375457875457876,6.338956043956045,1.0384432234432235,1.0354029304029304,0.44774725274725274,0.19838827838827838,0.13413919413919412,0.022106227106227106,28.622912087912088,5.462948717948718,7.9543956043956054,12.231318681318681,24.588791208791207,1.7662820512820512,1.7508058608058608,0.5758791208791209,33.429358974358976,0.1259157509157509,0.6825641025641026,1.2807142857142857,1.0530586080586082,1.7566300366300367,1.2416300366300366,0.1371978021978022,0.10597069597069597,0.10983516483516484,0.12510989010989013,0.03655677655677656,0.2175824175824176,0.1454945054945055,0.011684981684981685,0.0273992673992674,0.01716117216117216,0.011263736263736264,0.004468864468864468,1.7277838827838827,1.0037179487179486,0.8089560439560439,0.680915750915751,0.23789377289377286,0.6242307692307693,1.5502930402930404,35.369780219780225,0.926098901098901,15.04324175824176,4.17489010989011,27.73168498168498,4.88032967032967,6.360897435897436,3.804175824175824,1.4419963369963371,0.3424542124542124,0.006117216117216117,1.0994505494505493,1.3656776556776555,3.093681318681319,1.7106410256410256,0.019780219780219783,53.26190476190476,5.554578754578755,16.83386446886447,24.186721611721612,15.303205128205127,2.5225274725274724,49.494688644688644,0.7961721611721612,1.501794871794872,46.598717948717955,0.8777472527472527,0.0971978021978022,1.269029304029304,1.1453663003663004,41.525329670329675,34.17003663003663,82.96721611721611,3.3555494505494505,0.18364468864468864,0.005,0.001978021978021978,1.293040293040293,1.1991391941391942,0.14553113553113556,1.0354029304029304,1.0037179487179486,0.02575091575091575,0.01021978021978022,7.47007326007326,1.5618315018315019,1.9545970695970696,40.324175824175825,4.087600732600732,2.890018315018315,2.682802197802198
Serie A,1515.5189873417721,1516.5189873417721,26.287974683544302,1995.2262658227849,18.537974683544302,13.227848101265822,1187.756329113924,13.195094936708859,0.11321202531645569,1.226012658227848,0.37955696202531647,23.470886075949366,0.06231012658227848,0.17727848101265825,13.375632911392405,0.0472626582278481,0.008117088607594936,0.010949367088607595,33.08919303797468,41.74746835443038,77.32958860759494,633.160917721519,207.62821202531646,13.886613924050634,15.999129746835445,84.54746835443038,13.802689873417721,16.24856012658228,80.70205696202531,4.716851265822785,7.722958860759493,57.53180379746835,0.09481012658227848,0.8416613924050632,2.2495411392405065,0.7386867088607595,0.2001740506329114,2.7084651898734178,41.74746835443038,37.74572784810127,4.004905063291139,1.1137658227848102,0.046471518987341774,6.297753164556962,1.0608386075949368,0.9960284810126583,0.3901107594936709,0.15395569620253163,0.14238924050632912,0.012610759493670886,27.963227848101262,5.523148734177215,8.260506329113925,12.251598101265824,24.285965189873416,1.6281645569620253,1.6803164556962027,0.6015506329113924,33.08919303797468,0.13995253164556962,0.6991930379746836,1.1978164556962025,1.08375,1.8571044303797468,1.3695569620253163,0.14561708860759495,0.10776898734177215,0.10015822784810126,0.09159810126582278,0.042310126582278486,0.1836867088607595,0.12971518987341774,0.011582278481012658,0.012895569620253166,0.012563291139240507,0.014098101265822786,0.002768987341772152,1.6324050632911393,0.9785759493670887,0.7641613924050633,0.6152215189873418,0.2531170886075949,0.5738449367088608,1.4443512658227848,33.14430379746835,0.8703164556962025,14.89240506329114,4.187025316455696,27.047943037974683,4.77009493670886,6.4618512658227845,3.6588449367088605,1.5021677215189873,0.3478639240506329,0.005063291139240506,1.1543037974683543,1.2731962025316454,2.9055537974683543,1.5675474683544304,0.026693037974683545,52.8620253164557,5.557278481012658,16.930680379746835,24.60509493670886,14.598401898734178,2.4046835443037975,48.97167721518987,0.7562974683544305,1.4520253164556962,45.207594936708865,0.8282911392405063,0.06734177215189874,1.2922943037974683,1.2103797468354431,40.67469936708861,34.00675632911393,84.21265822784811,3.3006487341772157,0.23642405063291136,0.009018987341772151,0.004193037974683544,1.5544462025316454,1.3321835443037975,0.22651898734177214,0.9960284810126583,0.9785759493670887,0.01204113924050633,0.019003164556962025,7.488227848101267,1.7382436708860758,1.9277531645569619,39.55300632911393,4.122183544303797,3.009398734177215,3.13626582278481
