,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
1005,0.53,2.11,0.25,0.26,7.11,23.9,1.05,41.8,0.53,0.53,0.53,20.3,0.26,0.53,0.79,3.68,1.84
1008,0.17,2.44,0.05,0.06,17.2,35.3,0.63,71.0,0.4,0.28,0.0,12.4,0.91,0.34,0.51,0.8,3.64
1009,0.35,2.91,0.12,0.12,13.4,35.6,0.81,68.5,0.35,0.23,0.81,18.4,0.35,0.12,0.81,2.91,2.79
1010,0.39,2.17,0.18,0.23,12.6,29.7,0.78,65.3,0.62,0.47,0.54,14.7,0.54,0.23,1.24,1.16,2.64
1013,0.0,2.0,0.0,0.0,13.8,36.4,2.0,146.9,0.67,0.0,0.22,22.2,0.0,0.67,0.67,2.67,0.22
1014,0.2,2.35,0.09,0.0,14.9,34.7,0.92,89.4,0.1,0.0,0.51,19.3,1.22,0.41,1.63,2.35,5.51
1015,0.54,3.01,0.18,0.11,20.1,40.1,1.4,174.9,1.18,0.43,0.75,19.1,0.75,0.65,0.75,2.26,0.97
1022,0.11,2.13,0.05,0.11,14.6,32.4,0.64,58.7,0.0,0.21,0.43,12.7,0.74,0.43,0.85,1.38,2.23
1024,0.17,1.85,0.09,0.08,16.9,33.9,1.01,139.8,0.34,0.17,0.25,14.8,1.18,0.17,0.67,2.77,1.93
1026,0.25,2.16,0.12,0.17,28.0,53.8,1.95,195.7,2.5,0.3,1.14,16.9,1.02,1.19,1.65,1.99,1.31
1039,0.19,2.48,0.08,0.31,13.6,39.6,2.1,116.8,2.14,0.5,0.46,20.3,0.23,0.42,1.41,1.68,2.75
1042,0.3,2.68,0.08,0.15,25.1,50.5,1.36,179.4,2.73,0.25,0.51,12.9,0.56,0.4,0.86,1.06,1.41
1043,0.64,4.14,0.15,0.09,11.2,29.8,1.0,133.7,0.64,0.36,0.41,14.0,0.77,0.41,0.77,1.64,2.09
1053,0.53,4.74,0.07,0.0,17.5,44.4,1.58,97.0,0.7,0.18,0.35,14.0,1.05,0.53,0.18,1.58,2.81
1069,0.3,2.13,0.14,0.06,19.8,40.1,0.3,43.2,0.41,0.18,0.47,11.4,0.77,0.41,1.07,2.78,8.82
1072,0.4,1.64,0.24,0.18,34.8,52.5,1.5,258.5,1.37,0.4,1.02,13.5,0.27,0.8,0.93,1.5,0.13
1073,0.35,2.36,0.11,0.11,14.2,31.5,0.98,100.8,0.57,0.19,0.46,13.1,0.62,0.35,0.62,2.09,2.25
1085,0.14,0.99,0.14,0.07,19.6,35.2,0.85,111.3,1.42,0.21,0.0,13.1,0.35,0.35,0.43,0.57,0.14
1090,0.46,2.0,0.23,0.15,18.0,37.1,1.69,168.6,0.92,0.15,0.62,13.2,0.46,0.0,0.15,2.46,2.15
1096,0.37,2.72,0.14,0.0,15.4,31.0,0.62,82.1,0.37,0.12,0.37,25.4,0.99,0.49,0.74,0.99,2.72
1097,0.26,3.08,0.08,0.0,13.8,32.1,0.77,73.8,0.26,0.26,0.26,21.8,1.54,0.0,0.51,2.82,2.82
1103,0.41,2.7,0.1,0.06,12.6,32.3,0.41,85.4,0.85,0.28,0.19,12.4,0.78,0.31,0.75,0.97,3.2
1108,0.16,2.3,0.07,0.22,30.1,53.3,1.31,228.2,3.77,0.44,0.98,16.9,0.38,0.87,1.09,1.09,0.44
1109,0.38,2.08,0.17,0.04,11.3,30.5,0.35,45.7,0.38,0.12,0.31,16.9,0.77,0.31,0.54,3.04,5.12
1110,0.14,2.03,0.07,0.0,16.5,35.7,1.49,94.2,0.54,0.14,0.95,17.3,0.81,0.54,0.81,2.16,2.97
1115,0.5,2.33,0.21,0.0,19.1,44.1,1.08,98.0,0.75,0.5,1.08,24.2,0.67,0.33,1.25,1.83,2.92
1116,0.42,2.68,0.16,0.0,14.5,34.8,1.27,62.4,0.56,0.14,0.42,10.8,0.7,0.14,0.85,1.55,4.79
1122,0.3,1.88,0.12,0.08,10.9,23.4,0.89,70.4,0.69,0.11,0.3,19.4,0.11,0.47,0.58,1.22,0.44
1124,0.22,3.08,0.05,0.11,17.4,37.4,0.97,100.5,0.92,0.38,0.16,15.9,0.65,0.59,0.76,1.14,1.3
1133,0.19,3.09,0.06,0.0,17.7,38.9,1.48,154.3,1.73,0.12,0.43,15.5,0.12,0.31,0.93,1.98,1.05
1141,0.2,3.03,0.07,0.2,19.8,46.3,2.02,184.0,3.33,0.3,0.61,23.0,0.51,0.2,1.62,1.72,1.11
1164,0.1,1.53,0.07,0.2,34.7,53.4,1.53,245.8,1.63,0.51,0.71,14.6,0.41,0.31,1.63,0.31,0.2
1165,0.11,2.45,0.04,0.11,17.7,42.6,1.7,135.0,0.32,0.11,0.74,19.4,0.21,0.21,1.06,3.09,1.49
1166,0.17,1.69,0.1,0.12,11.5,27.3,0.81,89.7,0.47,0.35,0.76,17.9,0.81,0.29,0.81,2.5,0.93
1168,0.13,2.66,0.05,0.13,13.6,31.9,0.84,84.9,0.52,0.19,0.65,21.4,0.78,0.39,1.62,2.4,3.96
1170,0.25,2.16,0.11,0.25,34.4,55.7,1.91,237.4,1.48,0.68,0.93,18.1,0.31,1.11,1.54,1.42,0.74
1178,0.66,3.96,0.14,0.11,26.3,43.4,0.77,125.8,0.44,0.33,0.29,6.67,1.14,0.18,0.44,0.59,1.76
1179,0.11,2.39,0.05,0.11,14.5,33.3,0.45,57.0,0.34,0.11,0.23,19.5,1.25,0.45,0.68,1.7,5.0
1199,0.05,1.88,0.03,0.14,33.1,55.8,2.71,236.2,2.22,0.43,1.21,20.0,0.39,1.35,1.16,1.69,0.58
1203,0.75,4.36,0.13,0.42,28.3,51.6,2.28,175.0,1.66,0.81,0.23,14.6,0.13,0.49,0.42,0.42,0.42
1211,0.3,2.45,0.12,0.05,18.5,37.7,0.5,97.8,0.2,0.25,0.3,15.3,0.55,0.25,0.8,1.4,3.6
1212,0.38,1.96,0.19,0.25,22.5,43.3,1.39,148.8,0.63,0.38,0.7,17.1,0.7,0.44,0.57,1.33,1.01
1214,0.51,3.37,0.15,0.2,36.2,59.8,2.65,219.7,1.43,0.61,1.12,16.7,0.1,0.71,0.2,1.12,1.22
1223,0.21,2.59,0.08,0.21,29.9,50.1,1.47,278.2,1.82,0.35,0.28,8.6,0.35,0.35,0.42,0.42,0.56
1225,0.38,2.31,0.17,0.0,12.6,26.9,0.87,55.0,0.48,0.0,0.29,14.6,0.1,0.67,0.58,1.44,1.83
1230,0.67,3.28,0.19,0.0,17.7,36.1,0.88,105.5,0.21,0.17,0.71,14.4,0.84,0.38,0.67,2.18,2.48
1233,1.04,3.81,0.26,0.13,12.6,30.5,0.82,60.3,0.13,0.69,0.09,11.1,1.17,0.22,0.52,0.65,2.77
1245,0.36,2.05,0.13,0.0,12.5,33.4,0.45,61.5,0.54,0.09,0.54,20.7,0.89,0.18,1.25,3.04,7.41
1248,0.24,1.94,0.13,0.16,15.9,38.3,0.65,62.6,0.08,0.24,0.32,21.7,1.69,0.65,0.89,1.29,5.16
1257,0.48,2.34,0.15,0.13,18.0,38.4,1.13,88.3,0.61,0.65,0.56,13.3,0.61,0.3,1.08,1.13,2.08
1260,0.0,2.97,0.0,0.0,14.5,33.6,0.94,135.2,0.63,0.16,0.78,23.3,0.31,0.63,0.16,2.19,2.19
1264,0.58,2.41,0.24,0.17,16.6,39.6,1.08,113.6,0.81,0.24,0.64,18.4,0.64,0.2,1.36,2.1,2.03
1273,0.16,1.88,0.08,0.16,23.6,39.4,0.16,97.8,0.31,0.47,0.31,13.3,0.63,0.0,0.94,0.94,2.97
1277,0.41,2.3,0.18,0.27,13.5,28.2,0.41,35.0,0.54,0.27,0.27,10.7,1.08,0.41,0.81,1.35,1.22
1281,0.22,1.59,0.14,0.14,21.8,39.7,1.45,338.8,3.04,0.29,0.29,8.55,0.22,0.14,0.8,1.09,0.72
1283,0.6,3.6,0.17,0.0,12.4,35.4,2.2,102.0,0.6,0.2,0.2,18.0,0.6,1.0,0.8,2.8,3.4
1296,0.55,2.29,0.2,0.21,30.6,50.9,2.25,211.3,2.2,0.47,0.76,13.4,0.13,0.64,0.64,1.14,0.21
1308,0.54,2.5,0.18,0.1,17.8,34.2,0.39,58.1,0.44,0.29,0.2,8.63,0.69,0.15,0.34,1.13,1.32
1310,0.2,2.48,0.08,0.59,17.9,43.7,1.78,136.5,0.69,0.79,0.3,10.5,0.4,0.1,0.69,2.48,1.98
1312,0.0,1.4,0.0,0.23,33.0,53.0,0.93,185.6,2.33,0.7,0.47,10.5,0.0,0.23,1.4,0.23,0.7
1316,0.0,0.45,0.0,0.0,8.86,25.5,1.14,97.5,1.59,0.0,0.68,20.5,0.91,0.23,0.0,2.05,3.41
1317,0.2,1.89,0.11,0.0,17.2,37.9,1.63,154.1,0.46,0.2,0.77,17.7,0.71,0.36,0.66,1.73,3.62
1347,0.47,2.9,0.14,0.2,29.5,50.5,2.24,212.7,2.2,0.47,0.24,10.4,0.43,1.22,1.22,0.71,1.25
1351,0.52,3.12,0.12,0.09,18.9,35.4,1.45,126.5,0.9,0.25,0.19,8.83,1.2,0.28,0.83,1.27,1.05
1352,0.34,2.35,0.14,0.0,11.7,33.4,1.43,109.3,1.51,0.17,0.34,18.9,0.5,0.42,0.67,0.67,0.84
1358,0.37,2.57,0.08,0.15,14.2,38.7,0.74,73.2,0.9,0.31,0.62,14.1,1.33,0.65,0.96,1.89,4.64
