,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
948,0.09,1.19,0.04,0.35,67.6,84.5,1.19,335.8,1.46,0.49,0.58,13.1,0.27,1.37,0.62,1.06,0.44
950,0.0,2.56,0.0,0.0,36.4,58.5,0.77,165.1,1.28,0.0,0.77,20.0,0.77,1.03,1.03,1.28,1.28
955,0.06,1.27,0.05,0.09,33.6,51.1,0.34,113.2,1.6,0.12,0.59,17.3,1.05,1.05,1.67,0.68,0.77
956,0.0,1.08,0.0,0.0,38.4,57.2,0.68,182.6,0.54,0.0,1.08,23.8,0.81,0.41,2.03,4.19,1.49
957,0.12,1.44,0.08,0.08,40.5,62.4,1.04,171.0,0.72,0.16,1.16,19.3,2.12,1.28,1.4,2.16,1.76
959,0.07,1.49,0.05,0.07,33.7,53.9,0.27,140.5,0.95,0.2,1.22,17.2,1.82,0.81,1.15,2.09,0.68
962,0.0,0.38,0.0,0.0,25.4,49.6,0.96,78.8,0.58,0.0,0.96,29.0,2.12,1.92,2.88,1.35,1.92
966,0.0,1.65,0.0,0.0,24.5,47.6,1.1,161.2,0.44,0.0,1.87,28.1,1.76,1.32,1.1,2.31,2.31
967,0.16,0.63,0.25,0.0,44.3,60.2,0.87,207.6,0.39,0.39,1.57,19.1,1.97,1.73,1.73,1.26,1.73
968,0.0,0.83,0.0,0.0,42.1,62.1,1.88,246.0,0.21,0.0,1.25,26.7,1.04,1.67,0.63,1.25,2.29
971,0.06,0.61,0.1,0.03,50.6,68.5,0.64,192.6,0.97,0.12,1.64,18.4,1.06,1.45,1.58,1.48,0.55
972,0.0,0.83,0.0,0.06,36.2,51.5,0.48,123.6,0.42,0.12,2.5,30.2,1.25,1.43,0.71,2.2,0.95
973,0.0,0.78,0.0,0.06,27.2,49.4,1.17,136.4,1.95,0.19,1.17,24.0,1.56,1.69,1.95,2.21,1.23
976,0.28,1.94,0.15,0.63,39.8,62.9,0.53,149.4,2.71,0.99,0.88,16.7,0.56,0.81,1.34,0.56,1.58
977,0.13,1.23,0.08,0.32,40.3,61.9,2.17,229.0,2.59,0.68,0.68,11.1,0.23,0.71,0.91,0.49,0.19
987,0.0,0.51,0.0,0.0,31.6,47.1,0.22,121.4,0.15,0.07,1.02,17.2,1.75,1.97,1.68,1.68,1.17
991,0.0,0.0,0.0,0.0,31.9,47.6,0.7,120.3,0.1,0.0,1.9,20.9,1.6,2.3,1.6,2.2,1.1
994,0.08,1.32,0.06,0.0,23.9,45.8,1.05,114.0,0.12,0.0,1.25,21.8,3.27,1.6,1.63,2.45,4.01
995,0.19,1.67,0.11,0.19,42.2,65.2,2.41,238.7,0.37,0.19,1.85,16.3,0.56,0.56,0.37,0.93,0.37
996,0.0,0.64,0.0,0.26,59.2,79.0,1.79,312.4,0.51,0.26,2.44,21.0,0.9,1.15,0.9,2.05,0.9
1000,0.17,2.03,0.08,0.17,38.0,61.1,1.14,180.0,0.38,0.25,1.69,15.7,0.89,1.99,2.16,0.97,0.55
1002,0.14,1.42,0.1,0.07,53.8,75.5,1.05,214.0,0.71,0.1,1.45,18.3,1.82,1.86,1.45,1.11,0.88
1003,0.0,0.58,0.0,0.0,40.3,58.9,0.58,174.6,0.1,0.0,1.54,15.0,1.25,2.4,1.63,1.63,0.58
1016,0.27,0.0,0.0,0.0,67.3,82.4,0.27,220.8,0.0,0.0,1.89,14.3,0.81,1.35,1.08,1.35,0.27
1017,0.13,1.3,0.1,0.0,28.6,47.4,0.71,121.0,0.71,0.0,1.17,16.7,0.32,0.78,2.53,1.49,0.65
1019,0.05,1.42,0.04,0.11,29.3,54.2,1.09,164.0,0.82,0.16,1.31,17.7,2.35,1.37,1.42,2.68,1.75
1025,0.09,0.8,0.11,0.12,38.9,60.6,0.41,124.9,0.41,0.18,2.36,20.4,1.68,2.51,1.74,2.15,1.8
1032,0.2,1.11,0.09,0.0,40.9,61.6,0.61,152.4,0.81,0.4,2.12,24.9,1.11,1.31,1.52,1.41,0.71
1034,0.36,2.65,0.14,0.36,33.9,57.3,3.37,200.5,0.72,0.72,0.96,21.6,0.12,1.33,0.84,0.6,1.08
1037,0.07,0.99,0.07,0.0,36.6,54.8,0.86,172.6,0.13,0.07,2.19,16.8,1.59,2.25,0.86,2.25,1.66
1038,0.15,1.03,0.14,0.1,43.5,67.9,1.42,210.8,0.49,0.25,2.79,24.8,1.13,2.99,2.21,1.91,2.5
1040,0.0,1.38,0.0,0.0,22.5,40.4,0.86,142.4,0.6,0.09,1.38,21.8,1.12,1.29,1.72,3.71,1.29
1044,0.0,0.6,0.0,0.15,24.9,41.5,0.9,114.9,0.6,0.3,1.64,21.2,0.45,2.24,1.34,0.9,1.94
1045,0.0,0.94,0.0,0.0,49.6,64.4,0.47,192.0,0.24,0.08,2.44,23.1,1.26,1.34,0.94,1.97,0.55
1047,0.11,1.49,0.07,0.06,44.2,64.2,2.04,254.4,0.83,0.22,1.38,21.3,0.77,1.99,1.16,1.33,0.66
1050,0.08,1.05,0.07,0.0,44.2,65.4,0.89,200.1,1.05,0.16,1.75,19.4,1.75,2.84,1.83,1.63,2.61
1051,0.0,1.09,0.0,0.0,20.3,42.7,1.25,126.9,1.25,0.0,1.41,27.5,2.34,1.09,1.25,2.66,1.41
1054,0.04,0.54,0.07,0.0,35.5,53.0,0.62,164.2,0.27,0.0,1.91,21.4,1.48,2.57,1.67,2.53,1.13
1055,0.16,0.74,0.22,0.16,57.0,77.3,0.66,216.6,0.41,0.41,2.13,19.7,0.9,3.85,1.07,1.15,0.49
1060,0.11,0.86,0.13,0.22,96.1,107.2,0.43,341.2,0.0,0.43,2.04,12.0,0.22,1.72,1.08,1.08,0.32
1061,0.07,0.53,0.06,0.33,60.3,78.9,0.7,203.5,1.4,0.5,1.1,16.2,0.67,1.1,1.63,0.8,0.8
1063,0.09,1.96,0.05,0.04,45.2,63.3,1.33,213.4,0.13,0.13,1.82,12.9,1.42,1.47,1.24,1.78,1.02
1071,0.31,1.22,0.25,0.1,53.2,74.2,1.43,286.4,0.51,0.61,1.22,22.0,0.41,1.12,2.04,0.2,0.41
1078,0.0,1.98,0.0,0.12,30.9,58.6,3.84,233.1,4.07,0.23,1.28,18.5,0.58,2.09,1.28,1.16,0.12
1080,0.22,0.84,0.26,0.0,65.3,77.4,0.4,242.8,0.0,0.0,1.06,11.5,1.15,1.9,1.11,0.97,1.33
1083,0.0,0.77,0.0,0.15,28.0,47.8,0.62,123.8,0.15,0.15,2.62,18.0,1.69,0.77,1.38,1.85,2.0
1084,0.26,1.05,0.25,0.0,25.8,45.5,0.26,118.4,3.42,0.0,0.0,8.95,1.05,0.79,0.79,0.0,0.26
1092,0.0,0.78,0.0,0.1,26.8,43.9,0.69,129.2,0.29,0.29,1.57,16.6,1.27,1.18,1.27,1.18,1.86
1095,0.0,0.85,0.0,0.06,43.4,66.2,0.56,179.5,0.4,0.23,2.43,28.5,1.69,1.92,2.37,2.43,1.3
1102,0.0,0.31,0.0,0.0,29.3,45.3,0.31,93.9,0.19,0.0,1.56,18.9,1.63,1.44,1.38,3.0,2.13
1107,0.16,1.97,0.08,0.08,38.0,59.4,0.52,179.3,0.52,0.2,1.33,19.4,1.65,1.45,1.81,3.33,3.57
1112,0.07,1.05,0.06,0.0,18.5,34.9,0.53,98.0,0.26,0.0,1.18,23.9,0.66,0.53,1.38,1.84,1.51
1117,0.04,1.89,0.02,0.0,49.3,67.4,0.37,194.2,0.74,0.16,1.44,12.6,0.99,2.22,0.86,1.23,0.66
1118,0.0,0.72,0.0,0.04,22.2,37.6,0.68,108.5,0.08,0.13,1.65,20.2,1.69,2.37,1.1,1.86,1.44
1119,0.3,1.38,0.22,0.04,26.5,46.5,0.59,135.5,0.26,0.19,1.12,17.0,0.71,1.64,1.52,1.75,1.64
1121,0.19,1.67,0.11,0.0,77.8,94.1,1.11,322.2,0.19,0.56,0.56,16.5,0.0,0.93,0.19,1.67,0.0
1123,0.0,0.79,0.0,0.26,55.0,70.0,0.79,226.1,0.26,0.53,0.53,13.2,1.32,1.58,1.05,1.32,1.58
1126,0.0,1.02,0.0,0.08,33.9,53.0,1.02,232.7,0.79,0.12,2.13,22.7,1.14,1.26,2.09,1.89,2.13
1127,0.0,1.19,0.0,0.0,28.4,49.2,0.82,129.3,0.45,0.0,1.87,24.0,2.16,1.49,1.87,2.61,2.54
1128,0.0,0.37,0.0,0.0,29.9,45.1,0.59,125.1,0.3,0.07,1.04,15.4,1.56,1.26,1.93,1.78,1.56
1131,0.17,1.2,0.1,0.25,57.7,78.3,0.37,194.6,1.24,0.41,1.12,15.0,1.45,1.07,1.94,1.74,1.49
1136,0.22,1.24,0.18,0.04,32.8,50.7,0.99,240.1,0.58,0.11,1.5,20.0,0.99,1.39,1.5,1.5,0.8
1139,0.0,0.76,0.0,0.15,31.8,51.7,1.21,238.8,0.0,0.15,1.36,21.2,0.45,1.36,1.52,1.06,0.0
1145,0.0,1.21,0.0,0.0,19.1,40.6,0.71,112.7,1.03,0.14,0.67,15.8,0.6,1.35,1.88,1.35,0.89
1146,0.41,2.24,0.18,0.2,41.8,68.4,2.04,206.1,1.22,0.2,0.82,19.6,0.61,0.2,1.22,1.43,0.82
1147,0.06,0.47,0.13,0.06,48.2,64.5,0.71,261.9,0.12,0.12,1.76,19.8,0.94,2.82,1.47,1.06,0.35
1148,0.0,0.5,0.0,0.0,43.5,56.5,0.63,230.4,0.25,0.13,0.63,14.4,1.5,2.25,1.38,1.75,0.13
1149,0.03,0.74,0.04,0.11,55.2,71.0,1.16,364.0,1.05,0.23,1.5,13.5,1.5,2.69,1.7,0.99,1.36
1153,0.0,0.15,0.0,0.0,38.5,54.9,0.77,156.5,0.23,0.08,1.46,16.8,1.08,1.38,1.38,2.15,1.23
1159,0.0,1.19,0.0,0.0,61.0,81.4,0.71,201.2,0.24,0.24,1.67,25.2,0.48,1.9,1.67,3.81,0.24
1162,0.12,0.71,0.17,0.0,41.0,60.7,0.24,146.8,0.36,0.12,1.19,21.5,1.07,1.79,1.9,1.55,1.31
1163,0.22,1.41,0.16,0.06,80.8,96.8,0.31,287.9,0.25,0.09,1.44,15.0,1.69,1.25,1.5,1.56,2.84
1167,0.04,0.75,0.05,0.07,44.2,62.5,0.75,150.5,0.11,0.14,2.03,22.6,2.06,1.78,2.17,2.06,1.17
1172,0.0,2.0,0.0,0.29,34.9,55.4,1.43,174.3,0.29,0.57,0.29,18.6,1.14,0.57,0.57,3.14,2.86
1177,0.06,0.78,0.08,0.06,43.5,62.2,0.75,191.3,0.22,0.12,1.68,17.6,1.62,2.09,1.4,1.71,2.27
1180,0.0,0.59,0.0,0.07,50.4,66.6,0.59,176.9,0.46,0.17,1.42,16.1,1.58,1.62,1.29,1.45,1.55
1183,0.0,1.04,0.0,0.18,46.7,69.9,1.23,245.0,1.78,0.37,1.66,23.6,1.29,2.02,1.66,1.72,0.49
1186,0.35,1.63,0.21,0.12,35.9,59.0,0.23,144.2,1.05,0.35,1.51,19.3,2.33,1.28,0.81,1.63,1.16
1190,0.26,1.51,0.18,0.15,74.4,92.2,0.49,289.1,0.57,0.38,1.55,17.3,1.09,1.62,1.47,0.79,0.53
1192,0.0,1.41,0.0,0.0,38.5,58.2,1.53,200.2,0.47,0.0,0.94,20.2,0.47,2.0,0.94,1.29,0.71
1195,0.0,0.78,0.0,0.0,36.3,52.0,1.72,193.8,0.78,0.0,1.25,22.5,0.63,1.41,1.09,1.09,1.72
1202,0.1,0.41,0.25,0.0,41.4,57.0,0.51,144.9,0.71,0.0,1.63,23.7,0.82,2.24,1.12,1.63,0.71
1207,0.37,3.15,0.12,0.37,38.9,63.0,2.78,205.2,2.04,0.93,2.96,31.5,0.37,0.74,1.3,2.41,1.11
1208,0.11,0.82,0.13,0.0,32.0,51.8,0.54,115.7,0.16,0.16,1.9,18.7,2.17,1.96,2.12,1.96,1.96
1209,0.0,1.59,0.0,0.0,57.1,73.8,0.32,306.4,0.24,0.0,1.03,11.0,1.43,1.83,1.43,1.35,1.67
1210,0.0,0.0,0.0,0.0,31.3,44.0,0.11,80.1,0.0,0.33,1.3,23.8,1.3,0.87,0.43,3.59,1.63
1213,0.11,1.2,0.09,0.27,54.4,76.4,1.91,329.2,2.08,0.49,0.87,15.4,0.71,0.98,0.71,1.69,0.66
1219,0.12,1.07,0.11,0.0,27.0,45.2,0.24,82.5,0.95,0.12,1.19,19.5,1.19,0.24,1.07,2.5,2.98
1220,0.0,0.25,0.0,0.0,30.3,54.8,1.5,266.0,1.5,0.0,2.0,33.8,0.5,2.75,3.75,1.5,0.5
1226,0.3,2.91,0.06,0.26,40.1,76.0,3.17,235.0,3.73,0.56,1.46,18.2,0.3,1.87,1.19,1.87,0.71
1232,0.16,0.32,0.5,0.0,32.2,48.7,0.16,128.9,0.95,0.0,1.11,21.6,2.22,1.9,2.54,1.9,0.79
1234,0.0,0.95,0.0,0.09,30.1,50.6,1.03,172.0,0.69,0.17,2.67,26.8,1.55,1.55,2.33,2.07,1.38
1239,0.0,0.28,0.0,0.14,47.6,65.6,1.39,170.4,0.14,0.28,1.53,19.3,1.53,3.06,1.67,2.08,1.53
1240,0.04,1.32,0.03,0.0,30.8,52.1,1.2,171.8,1.02,0.15,0.9,20.0,0.86,1.58,1.47,1.35,1.2
1241,0.06,0.39,0.17,0.06,43.5,62.8,1.74,161.8,0.06,0.26,1.16,16.2,1.94,2.65,2.06,1.29,1.94
1243,0.0,0.47,0.0,0.13,36.5,57.8,0.81,182.5,0.98,0.26,1.37,17.3,1.2,1.71,1.71,2.14,1.71
1247,0.12,1.19,0.1,0.0,37.7,57.4,1.31,249.3,0.48,0.24,1.55,21.2,0.24,1.07,0.83,2.62,0.71
1249,0.29,2.57,0.11,0.0,25.4,53.7,1.43,218.6,2.0,0.0,2.0,28.0,0.29,1.71,2.86,2.29,0.29
1251,0.3,1.32,0.05,0.18,47.8,66.6,0.42,212.9,0.9,0.3,0.84,10.7,0.84,1.26,1.32,1.26,0.36
1253,0.09,1.32,0.07,0.05,33.3,49.9,0.5,129.5,0.59,0.09,0.64,13.0,1.5,1.59,1.27,0.91,0.59
1256,0.0,0.67,0.0,0.08,42.8,62.3,0.75,154.0,0.33,0.08,1.75,19.5,1.75,2.67,1.75,1.5,1.33
1259,0.1,1.1,0.1,0.21,47.8,64.6,1.31,253.6,1.26,0.58,1.47,16.6,0.58,0.73,1.05,1.47,0.58
1267,0.0,0.63,0.0,0.0,38.5,58.5,1.04,190.8,0.83,0.0,2.5,32.5,0.0,2.08,1.67,1.88,0.0
1268,0.06,0.7,0.08,0.03,26.4,42.8,1.31,142.0,0.67,0.11,1.12,14.1,2.01,1.23,1.48,1.26,2.37
1269,0.2,1.14,0.17,0.05,39.3,59.0,0.59,149.8,0.35,0.0,1.83,18.8,2.18,2.23,2.57,1.04,2.33
