,Pos,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
375,MF,0.0,1.01,0.0,0.0,31.2,48.5,0.36,118.1,0.22,0.0,0.79,14.2,1.65,2.59,1.8,2.16,1.29
376,MF,0.0,0.7,0.0,0.18,31.3,47.6,2.02,168.8,0.61,0.35,1.75,20.1,0.79,1.49,0.88,1.14,1.14
377,MF,0.15,1.46,0.1,0.15,29.9,47.5,2.09,211.7,0.78,0.49,1.31,17.9,0.29,0.58,0.39,1.17,0.39
378,MF,0.0,1.14,0.0,0.0,54.9,72.9,1.14,218.0,0.29,0.29,1.71,25.7,0.86,1.14,0.86,3.14,0.29
379,MF,0.0,2.16,0.0,0.0,21.8,49.4,2.75,207.5,1.18,0.2,1.57,20.4,0.59,1.76,1.76,2.35,0.39
380,MF,0.0,0.98,0.0,0.13,43.8,65.9,0.58,186.3,0.4,0.22,2.14,25.5,1.38,2.01,2.01,1.43,1.61
381,MF,0.04,0.47,0.08,0.0,35.5,53.3,1.01,176.4,0.08,0.12,2.09,19.7,1.4,2.48,1.9,2.48,0.81
382,MF,0.05,0.6,0.08,0.0,38.2,53.0,1.0,236.2,0.4,0.0,1.85,22.8,0.65,1.35,1.35,2.0,0.9
383,MF,0.07,1.21,0.06,0.14,31.1,49.3,0.71,145.2,0.28,0.25,1.6,23.3,1.17,1.45,1.49,1.91,1.56
384,MF,0.03,0.95,0.03,0.12,52.0,68.0,0.86,262.0,0.09,0.21,2.05,15.2,0.58,2.26,0.95,1.44,0.67
385,MF,0.11,2.35,0.05,0.0,28.3,51.6,2.46,163.5,0.73,0.06,1.01,20.9,0.61,1.56,0.89,2.35,1.4
386,MF,0.09,0.51,0.18,0.09,34.9,51.6,0.56,168.4,1.35,0.23,1.07,16.5,0.47,1.07,1.16,1.26,0.7
387,MF,0.16,1.73,0.09,0.08,23.9,45.8,1.73,184.9,0.47,0.16,1.81,19.4,1.34,1.89,1.02,1.5,0.94
388,MF,0.04,0.98,0.04,0.08,29.0,50.0,0.29,134.5,0.45,0.25,1.19,17.8,1.48,1.39,2.13,1.48,2.7
389,MF,0.05,0.77,0.07,0.0,32.0,50.7,0.82,134.4,0.05,0.0,1.48,19.2,1.65,2.2,2.14,2.14,1.54
390,MF,0.0,2.63,0.0,0.0,55.3,79.2,0.53,296.3,1.84,0.26,0.26,24.7,1.05,0.79,2.37,0.53,0.26
391,MF,0.0,0.89,0.0,0.22,57.6,69.4,0.0,204.9,0.0,0.22,1.0,12.0,1.33,2.0,1.0,0.56,1.22
392,MF,0.12,1.43,0.09,0.06,39.8,61.9,1.06,181.5,0.28,0.06,1.3,20.7,1.86,1.83,2.08,1.09,2.89
393,MF,0.1,2.12,0.05,0.38,45.4,71.4,0.67,213.9,2.88,0.67,0.96,14.4,1.06,0.96,1.25,0.58,0.58
394,MF,0.35,1.18,0.29,0.0,19.3,40.4,0.49,71.0,0.21,0.21,1.11,19.0,1.88,2.29,2.36,2.08,2.78
395,MF,0.0,0.67,0.0,0.0,31.3,43.1,0.89,144.4,0.22,0.0,2.22,14.4,1.33,1.78,1.11,2.0,0.44
396,MF,0.19,0.74,0.16,0.04,52.2,69.5,0.31,175.1,0.23,0.19,1.44,16.1,1.17,2.18,1.98,1.91,1.75
397,MF,0.35,1.61,0.06,0.25,33.5,57.0,2.71,298.1,2.26,0.4,1.21,14.7,0.65,1.31,0.6,0.7,0.4
398,MF,0.19,2.71,0.07,0.26,39.2,63.4,1.97,260.4,2.03,0.61,1.1,19.4,0.13,0.52,0.55,2.29,0.97
399,MF,0.29,2.51,0.11,0.17,44.0,70.0,0.78,218.6,2.37,0.29,1.3,17.6,1.16,1.1,0.84,1.27,0.66
400,MF,0.13,0.83,0.11,0.09,35.8,55.1,0.61,187.1,1.49,0.09,1.4,22.5,1.45,1.67,1.84,0.83,1.01
401,MF,0.0,0.4,0.0,0.06,65.0,86.9,1.11,339.6,0.77,0.09,1.46,17.8,1.02,1.27,1.08,1.67,0.53
402,MF,0.0,0.41,0.0,0.0,34.4,52.5,0.55,138.5,0.68,0.0,1.78,23.0,1.37,1.92,2.19,1.1,0.96
403,MF,0.21,2.63,0.08,0.03,42.8,60.4,2.04,295.6,0.91,0.24,0.59,13.4,0.4,1.39,0.86,0.78,0.46
404,MF,0.0,1.28,0.0,0.16,37.9,60.7,1.56,203.3,0.37,0.37,2.1,20.2,0.91,1.81,1.48,1.52,0.66
405,MF,0.0,0.82,0.0,0.06,39.9,57.1,0.53,182.9,0.29,0.06,1.65,24.0,1.12,1.76,1.12,2.24,0.76
406,MF,0.0,1.0,0.0,0.07,27.6,48.7,0.21,148.4,0.14,0.14,1.14,18.1,1.64,1.21,1.93,2.21,2.07
407,MF,0.13,2.08,0.06,0.09,33.4,52.6,1.17,191.1,0.6,0.28,0.85,16.3,1.58,1.42,1.74,1.51,0.88
408,MF,0.18,0.67,0.27,0.18,49.9,71.3,0.8,173.2,0.09,0.36,1.69,24.6,1.33,2.18,2.09,1.91,0.71
409,MF,0.04,0.76,0.05,0.11,55.1,75.3,1.06,269.7,0.84,0.19,1.63,18.4,1.06,1.83,1.83,1.75,1.03
410,MF,0.28,1.11,0.25,0.28,41.3,59.3,0.83,202.8,0.69,0.28,0.97,23.2,0.83,1.81,2.08,3.19,2.36
411,MF,0.0,0.52,0.0,0.0,40.0,61.3,1.18,183.0,0.46,0.07,1.76,15.2,1.44,1.7,1.24,2.29,1.11
412,MF,0.0,1.05,0.0,0.0,28.7,49.6,0.61,101.8,1.4,0.0,1.58,22.5,0.7,1.32,1.67,2.02,0.7
413,MF,0.25,1.65,0.15,0.09,28.2,50.3,1.49,151.7,2.12,0.41,1.39,24.7,0.85,1.36,1.77,2.66,1.11
414,MF,0.16,1.32,0.13,0.05,71.2,86.4,1.1,286.0,0.22,0.22,2.25,25.7,0.66,2.03,1.15,2.47,0.55
415,MF,0.0,0.5,0.0,0.0,33.2,50.8,0.21,87.9,0.04,0.04,1.07,13.5,1.98,0.83,1.36,2.11,1.74
416,MF,0.0,0.67,0.0,0.08,36.9,58.6,2.08,219.8,1.58,0.25,1.08,16.3,0.17,1.08,0.75,2.5,0.5
417,MF,0.0,0.79,0.0,0.03,70.5,95.2,0.56,257.2,0.85,0.3,1.44,19.8,1.61,2.46,1.87,1.08,0.69
418,MF,0.13,0.98,0.13,0.13,42.4,60.3,0.26,194.7,0.78,0.2,1.5,18.4,0.33,1.83,1.31,3.14,0.2
419,MF,0.0,0.87,0.0,0.05,46.5,67.9,1.02,217.8,0.92,0.05,1.07,24.0,1.55,1.6,1.12,2.18,0.58
420,MF,0.0,2.03,0.0,0.14,30.9,53.9,1.88,149.6,0.43,0.29,1.3,28.7,0.43,1.59,1.88,4.78,0.87
421,MF,0.0,0.68,0.0,0.12,33.6,51.7,0.56,206.2,0.25,0.12,2.04,20.3,2.16,1.73,2.1,2.16,2.35
422,MF,0.16,1.37,0.12,0.08,50.0,68.3,2.26,290.2,0.24,0.24,2.1,22.5,1.21,0.73,1.13,3.31,0.65
423,MF,0.19,2.97,0.07,0.19,47.9,68.8,0.65,182.4,0.26,0.45,1.23,13.1,1.03,2.13,1.1,0.9,2.19
424,MF,0.0,1.03,0.0,0.04,35.7,55.5,0.62,173.7,0.04,0.08,1.03,12.7,1.49,3.18,1.57,1.32,2.64
425,MF,0.0,1.54,0.0,0.0,27.8,48.7,0.68,172.6,1.79,0.0,0.77,13.0,1.11,1.28,1.03,1.37,0.51
426,MF,0.0,0.93,0.0,0.0,23.3,38.2,0.28,98.1,0.37,0.09,1.57,20.3,1.67,2.04,1.48,3.24,1.2
427,MF,0.0,0.9,0.0,0.06,50.5,70.9,0.45,237.7,0.26,0.13,1.42,13.7,1.94,1.81,1.61,1.61,1.29
428,MF,0.11,1.43,0.08,0.17,54.3,72.0,1.0,298.1,0.89,0.34,0.97,12.8,0.54,0.71,0.8,0.86,0.83
429,MF,0.0,0.21,0.0,0.0,55.3,72.5,0.1,234.2,0.0,0.0,1.04,18.3,1.35,1.46,2.4,1.98,1.88
430,MF,0.0,1.76,0.0,0.06,50.9,69.4,0.29,236.1,0.18,0.12,1.41,16.2,1.24,2.29,1.12,1.76,1.41
431,MF,0.0,0.6,0.0,0.16,64.7,86.8,1.48,364.0,0.93,0.44,2.47,23.4,1.1,1.87,1.26,1.76,0.71
432,MF,0.43,1.91,0.23,0.09,38.3,62.3,1.48,241.5,0.78,0.26,3.39,26.0,0.78,1.65,2.35,1.91,0.52
433,MF,0.0,1.05,0.0,0.19,40.6,60.0,0.29,154.6,1.29,0.33,1.05,21.1,1.24,1.29,1.43,2.62,1.14
434,MF,0.39,2.67,0.15,0.19,56.3,73.4,1.07,257.0,1.17,0.34,0.53,9.51,0.49,1.31,0.92,0.83,0.63
435,MF,0.0,0.99,0.0,0.0,36.5,52.2,0.55,167.7,0.33,0.11,0.83,13.1,0.72,1.93,0.94,1.05,0.72
436,MF,0.0,0.63,0.0,0.18,33.7,54.1,0.18,164.0,1.44,0.18,2.25,23.2,1.35,0.9,2.34,1.89,0.63
437,MF,0.33,1.43,0.23,0.0,27.0,48.2,0.66,106.3,0.33,0.0,1.21,23.5,2.42,1.87,1.76,2.09,2.75
438,MF,0.2,0.95,0.21,0.07,45.1,64.0,1.22,193.9,0.27,0.2,1.43,17.6,1.02,1.09,1.9,1.5,1.84
439,MF,0.1,1.49,0.07,0.31,21.0,39.8,0.46,131.1,0.72,0.31,1.08,18.2,1.28,1.33,1.95,1.64,0.97
440,MF,0.0,2.6,0.0,0.0,51.4,73.8,0.8,270.4,0.6,0.2,1.8,27.8,0.6,1.4,3.0,3.0,1.4
441,MF,0.07,1.07,0.06,0.17,63.9,83.1,0.62,244.4,1.66,0.38,0.83,16.2,0.59,1.49,1.07,1.14,0.8
442,MF,0.09,1.88,0.05,0.13,26.8,45.8,0.18,147.4,2.68,0.45,0.63,21.2,0.76,0.4,1.12,2.68,0.71
443,MF,0.0,0.58,0.0,0.08,46.4,59.7,1.58,256.3,0.42,0.25,0.92,15.8,1.0,1.08,1.25,1.83,0.42
444,MF,0.25,1.16,0.21,0.17,80.0,96.5,0.58,267.9,0.58,0.58,1.49,17.9,0.83,1.98,1.32,1.4,0.0
445,MF,0.0,0.95,0.0,0.0,58.4,81.5,1.16,264.6,0.84,0.21,1.68,21.2,2.63,1.68,2.11,2.53,3.26
446,MF,0.05,0.82,0.07,0.05,39.2,60.1,1.2,156.1,0.44,0.22,2.46,23.9,2.19,1.64,1.64,2.84,3.66
447,MF,0.07,1.11,0.06,0.14,35.2,52.4,0.87,134.3,0.38,0.24,1.87,18.7,1.49,1.59,1.97,2.01,2.53
448,MF,0.14,1.25,0.11,0.0,32.5,53.2,0.14,166.5,0.42,0.0,1.81,15.0,2.78,1.39,0.69,2.22,2.36
449,MF,0.19,2.71,0.07,0.0,45.4,70.0,0.93,212.9,0.84,0.0,1.4,19.2,0.65,1.78,1.59,1.59,0.84
450,MF,0.0,0.51,0.0,0.09,36.6,55.5,0.6,142.3,0.77,0.26,1.28,18.1,1.2,1.88,2.14,2.05,1.62
451,MF,0.06,0.87,0.06,0.06,62.6,80.1,1.15,249.1,0.59,0.14,1.38,18.8,1.72,1.97,2.06,1.24,0.99
452,MF,0.0,0.7,0.0,0.09,47.7,63.5,0.35,162.7,0.0,0.17,0.78,11.7,2.87,1.22,1.22,1.83,3.3
453,MF,0.1,2.1,0.05,0.1,29.1,48.8,2.3,257.3,3.0,0.4,1.2,15.3,0.2,1.2,1.1,1.2,0.0
454,MF,0.0,0.16,0.0,0.0,50.3,64.7,0.31,191.6,0.0,0.0,1.56,25.0,0.47,0.94,1.72,1.72,0.16
455,MF,0.0,1.56,0.0,0.39,40.1,59.6,1.04,190.1,0.65,0.52,1.17,15.3,2.34,1.56,1.43,2.08,2.34
456,MF,0.04,0.78,0.05,0.11,39.4,59.5,0.89,207.7,0.68,0.39,1.14,14.7,2.17,1.57,1.39,1.71,1.96
457,MF,0.0,0.0,0.0,0.0,59.8,78.1,0.48,168.3,0.48,0.0,1.9,18.6,4.05,2.38,1.9,1.43,2.86
458,MF,0.0,0.31,0.0,0.0,34.7,49.9,0.41,98.2,0.31,0.0,1.96,23.1,2.06,3.09,1.24,2.27,1.55
459,MF,0.0,0.71,0.0,0.14,36.4,56.0,0.71,151.4,0.43,0.29,2.14,17.7,1.14,1.71,1.86,2.0,1.71
460,MF,0.05,1.39,0.03,0.0,30.4,51.8,0.91,150.6,0.43,0.14,1.39,21.2,1.1,1.39,1.96,2.01,1.82
461,MF,0.16,1.18,0.13,0.0,30.1,49.3,0.71,136.7,0.9,0.16,1.37,19.1,1.33,1.73,1.69,1.22,1.49
462,MF,0.0,1.07,0.0,0.06,31.3,53.7,0.79,143.2,1.8,0.17,1.57,25.6,0.79,1.85,1.85,1.12,0.56
463,MF,0.11,2.0,0.05,0.11,56.2,73.1,1.89,325.3,0.21,0.21,0.95,22.3,0.21,1.05,0.53,1.26,0.74
464,MF,0.11,0.62,0.18,0.11,54.9,69.4,1.09,291.6,0.8,0.29,0.95,11.6,0.69,1.13,0.95,0.98,1.16
465,MF,0.0,0.57,0.0,0.04,58.0,74.4,0.79,197.6,0.72,0.14,1.68,17.8,0.54,1.54,1.08,2.44,0.65
466,MF,0.24,0.36,0.0,0.08,65.8,82.5,0.55,226.5,0.12,0.32,1.82,19.3,0.83,2.37,1.38,1.54,0.79
467,MF,0.0,0.41,0.0,0.07,18.4,33.1,0.41,76.1,0.41,0.14,2.48,17.2,2.0,2.07,1.38,1.17,1.72
468,MF,0.0,0.38,0.0,0.05,64.3,78.4,0.71,312.3,0.24,0.14,1.33,18.2,0.85,1.85,1.18,1.9,0.47
469,MF,0.1,0.86,0.12,0.2,56.7,77.2,1.57,297.3,0.56,0.66,1.73,19.5,0.71,2.23,1.88,1.52,0.91
470,MF,0.0,0.43,0.0,0.05,41.2,62.2,0.57,133.7,0.14,0.09,1.33,20.1,2.61,2.09,2.61,1.9,2.94
471,MF,0.0,0.67,0.0,0.0,41.0,58.5,0.67,247.5,0.45,0.0,1.69,14.3,2.25,1.57,1.46,0.67,1.24
472,MF,0.23,2.0,0.12,0.08,50.1,71.5,1.23,236.8,0.54,0.46,2.15,24.7,0.31,1.54,1.85,2.31,0.62
473,MF,0.0,1.96,0.0,0.0,23.0,44.3,0.0,102.7,0.0,0.0,1.61,18.2,1.61,1.43,1.61,2.32,2.68
474,MF,0.23,1.25,0.13,0.0,45.4,62.5,1.02,215.0,0.39,0.04,1.33,16.6,1.02,1.88,1.76,1.48,1.41
475,MF,0.0,0.42,0.0,0.03,22.8,40.3,0.62,87.8,0.56,0.07,1.67,22.6,1.34,1.57,1.54,2.09,1.44
476,MF,0.11,0.98,0.11,0.33,80.0,104.2,0.84,321.7,1.24,0.8,1.2,17.9,1.05,2.33,1.75,0.84,0.87
477,MF,0.0,0.41,0.0,0.0,25.2,42.3,0.37,97.2,0.18,0.09,1.15,23.9,2.57,2.02,2.39,1.33,1.83
478,MF,0.04,1.83,0.02,0.09,34.2,54.1,0.91,193.8,1.22,0.26,1.13,25.9,1.04,1.35,1.04,1.96,0.35
479,MF,0.19,1.44,0.13,0.24,21.6,45.4,1.83,211.6,3.89,0.38,0.58,16.2,0.24,1.15,1.44,2.12,0.96
480,MF,0.0,1.01,0.0,0.17,36.1,57.7,0.5,117.3,0.11,0.5,1.51,20.5,1.4,2.01,1.79,2.74,1.96
481,MF,0.04,0.43,0.08,0.07,54.1,70.9,0.5,185.0,0.82,0.25,1.11,17.4,1.18,1.08,1.25,1.29,0.57
482,MF,0.08,1.19,0.07,0.0,43.1,64.8,1.93,218.0,0.08,0.08,1.85,20.6,0.86,2.76,1.48,1.69,1.23
483,MF,0.17,1.19,0.14,0.04,50.2,72.8,1.23,239.5,1.31,0.21,1.02,17.7,0.93,1.02,1.78,1.78,1.27
484,MF,0.03,1.15,0.03,0.06,42.2,58.5,1.36,287.3,0.24,0.21,0.97,17.8,0.73,1.97,1.24,1.36,0.58
485,MF,0.0,0.37,0.0,0.05,30.0,48.6,0.64,106.9,0.23,0.05,1.55,17.9,2.47,2.05,2.69,1.69,2.56
486,MF,0.12,1.27,0.09,0.29,61.6,79.4,1.85,332.7,0.29,0.35,2.31,21.9,0.75,1.16,1.04,1.73,0.29
487,MF,0.07,0.54,0.13,0.2,31.2,49.9,0.34,154.0,0.61,0.27,0.95,15.2,0.61,1.02,1.63,1.09,0.95
488,MF,0.0,0.36,0.0,0.0,44.6,68.8,1.08,144.3,0.6,0.0,2.29,28.9,2.41,1.69,2.17,2.29,1.45
489,MF,0.04,1.97,0.02,0.13,88.7,103.5,0.34,315.7,1.32,0.17,1.32,15.7,0.47,0.73,0.56,0.9,0.38
490,MF,0.05,2.16,0.02,0.05,22.9,48.7,1.13,120.3,0.47,0.09,2.21,19.9,2.35,2.16,1.83,2.49,2.58
491,MF,0.0,0.79,0.0,0.0,26.4,47.9,0.93,96.8,0.5,0.0,1.64,20.6,2.29,2.07,1.57,2.93,3.07
492,MF,0.29,1.16,0.25,0.29,40.4,63.6,1.74,227.5,0.87,0.43,1.67,33.2,0.8,1.01,2.03,3.26,0.94
493,MF,0.0,1.16,0.0,0.06,47.9,64.6,1.16,188.2,0.46,0.17,1.27,17.5,0.87,1.56,1.5,0.81,0.81
494,MF,0.0,0.85,0.0,0.11,37.9,56.2,0.32,166.6,0.64,0.21,1.06,22.9,1.28,2.87,1.38,1.17,0.74
495,MF,0.04,1.31,0.03,0.0,32.4,50.4,0.71,162.9,1.19,0.04,1.59,25.8,0.75,1.67,1.63,1.98,0.6
496,MF,0.0,0.16,0.0,0.0,60.6,74.6,0.16,123.5,0.16,0.21,1.85,19.4,1.75,1.69,1.85,2.28,1.53
497,MF,0.25,1.81,0.14,0.31,39.8,61.8,1.94,247.8,3.38,0.69,1.0,17.5,0.5,1.13,1.25,0.88,0.88
498,MF,0.09,0.73,0.13,0.0,48.1,64.7,1.1,264.1,0.27,0.14,2.01,14.1,1.92,2.24,1.51,1.78,1.28
499,MF,0.0,0.32,0.0,0.08,62.7,80.6,0.73,208.5,0.32,0.08,2.26,24.3,2.1,1.53,1.61,2.26,0.81
500,MF,0.12,0.7,0.17,0.0,14.8,32.8,1.05,106.6,1.74,0.29,1.05,20.2,0.76,0.87,1.86,1.34,0.58
501,MF,0.0,1.14,0.0,0.0,37.6,61.3,1.86,138.0,0.43,0.0,2.14,32.7,1.14,0.86,2.14,3.86,1.29
502,MF,0.05,0.11,0.5,0.0,71.9,83.7,0.7,320.7,0.05,0.11,1.6,17.7,0.64,1.5,0.91,0.96,0.7
503,MF,0.13,0.88,0.14,0.13,51.6,70.8,0.67,169.0,0.33,0.38,1.29,15.1,1.75,1.58,2.21,1.75,1.46
504,MF,0.06,0.92,0.07,0.06,30.1,47.5,0.18,133.7,0.31,0.25,2.02,26.2,1.35,1.23,1.66,1.6,0.86
505,MF,0.06,0.49,0.13,0.03,72.3,88.5,0.89,378.5,0.37,0.21,1.38,16.7,1.35,1.81,1.29,1.26,0.21
506,MF,0.0,1.47,0.0,0.0,51.7,74.0,1.09,204.3,0.93,0.16,1.4,19.5,0.7,1.63,1.4,2.4,0.7
507,MF,0.0,0.88,0.0,0.0,29.7,46.8,0.99,185.5,0.0,0.05,2.09,27.6,1.15,1.76,1.48,2.25,1.1
508,MF,0.06,1.01,0.06,0.0,30.6,50.4,0.67,102.2,0.28,0.03,1.72,19.5,3.22,2.27,1.26,1.69,4.08
509,MF,0.0,1.08,0.0,0.0,34.1,57.1,0.89,164.7,1.21,0.06,2.04,22.0,1.4,3.06,1.46,2.23,0.7
510,MF,0.13,2.36,0.03,0.13,28.5,56.0,1.21,138.0,2.36,0.19,1.66,23.9,1.4,1.21,1.34,1.4,1.85
511,MF,0.06,1.61,0.04,0.06,40.7,64.6,2.17,218.9,1.99,0.12,2.24,24.3,0.25,1.93,1.43,2.05,0.75
512,MF,0.0,0.27,0.0,0.09,32.0,50.9,0.36,101.2,0.27,0.09,2.45,25.8,1.55,2.82,1.91,2.55,2.36
513,MF,0.07,0.76,0.09,0.1,41.3,59.0,0.56,177.2,0.89,0.26,1.42,17.4,0.96,2.02,1.46,1.69,1.23
514,MF,0.15,0.88,0.07,0.12,46.8,62.7,0.63,257.9,0.6,0.24,1.09,16.3,1.06,1.57,1.6,2.75,1.48
515,MF,0.06,1.34,0.05,0.1,27.5,48.4,0.67,144.0,0.45,0.13,1.34,20.6,1.02,1.53,1.41,2.43,1.09
516,MF,0.0,1.1,0.0,0.06,35.8,52.9,0.74,200.9,0.43,0.12,2.45,22.5,0.92,2.58,1.29,1.6,0.55
517,MF,0.05,0.82,0.06,0.29,29.5,50.2,0.92,150.0,1.35,0.39,0.77,16.2,0.68,0.92,1.16,0.68,0.92
518,MF,0.29,2.21,0.13,0.39,40.2,65.1,1.37,309.2,2.25,0.93,1.81,23.6,0.54,1.23,1.42,1.86,0.34
519,MF,0.04,1.23,0.03,0.11,27.2,42.1,1.03,200.2,0.31,0.23,0.92,11.9,0.54,1.23,1.53,1.19,0.69
520,MF,0.03,0.92,0.03,0.06,21.1,36.5,0.37,92.5,0.34,0.03,1.23,18.9,1.17,1.96,2.3,0.52,1.63
521,MF,0.18,1.86,0.1,0.18,30.5,49.4,0.53,137.3,1.68,0.27,1.68,24.3,0.27,0.71,1.59,3.81,1.5
522,MF,0.08,1.02,0.08,0.16,33.9,53.1,0.39,148.2,0.08,0.16,2.2,21.3,0.94,1.65,2.28,1.73,1.02
523,MF,0.0,1.01,0.0,0.0,28.5,41.2,1.01,152.5,0.0,0.11,1.57,26.4,0.79,0.56,1.12,2.47,1.46
524,MF,0.0,1.56,0.0,0.14,43.8,61.0,0.34,142.8,0.82,0.27,0.48,13.3,1.36,1.09,1.43,2.04,1.7
525,MF,0.05,0.83,0.06,0.15,32.1,48.9,2.43,179.9,0.29,0.34,0.68,11.1,0.92,1.36,0.87,1.46,0.87
526,MF,0.29,0.45,0.09,0.08,48.6,70.9,0.29,145.5,1.27,0.16,1.76,22.9,1.72,1.68,1.72,1.02,1.31
527,MF,0.0,0.22,0.0,0.0,41.0,57.8,1.0,151.4,0.11,0.0,1.67,13.0,2.22,2.33,1.33,2.0,1.0
528,MF,0.0,0.93,0.0,0.0,36.3,53.5,0.7,165.1,0.0,0.47,1.16,18.1,0.47,1.63,1.4,1.86,1.4
529,MF,0.0,1.31,0.0,0.16,31.6,49.0,0.61,195.6,1.02,0.29,0.99,16.9,0.54,0.8,1.02,1.09,0.8
530,MF,0.04,0.9,0.05,0.04,65.3,79.5,0.26,213.5,0.26,0.13,0.9,14.3,1.24,1.28,1.11,1.37,0.9
531,MF,0.1,0.92,0.11,0.1,29.2,52.4,0.82,169.4,1.84,0.41,1.43,21.0,0.92,1.73,1.22,1.94,1.02
532,MF,0.0,1.51,0.0,0.14,24.8,48.5,1.1,166.0,1.37,0.14,1.1,20.3,0.68,1.92,1.51,1.78,1.51
533,MF,0.0,0.43,0.0,0.0,37.7,52.8,0.47,164.1,0.18,0.0,0.79,15.9,2.06,1.48,2.35,1.66,1.59
534,MF,0.04,1.35,0.03,0.13,35.7,54.7,1.48,245.2,0.0,0.34,1.52,17.7,1.1,1.98,1.48,1.48,1.43
535,MF,0.0,0.45,0.0,0.0,39.1,53.6,1.14,195.0,0.23,0.0,1.25,19.0,0.91,2.16,1.48,1.93,0.91
536,MF,0.0,0.39,0.0,0.26,57.2,76.9,0.71,297.6,0.32,0.32,1.82,15.1,2.01,2.08,2.21,2.08,2.21
537,MF,0.04,0.36,0.1,0.04,36.4,54.6,0.62,143.8,0.07,0.15,1.72,16.9,1.93,2.45,2.08,1.35,1.17
538,MF,0.0,0.56,0.0,0.19,48.3,69.9,1.06,244.6,0.94,0.19,1.63,23.5,2.63,2.13,2.13,1.94,2.06
539,MF,0.09,1.25,0.07,0.12,29.3,51.1,1.28,155.0,1.66,0.15,1.78,16.3,1.11,1.52,1.78,2.04,0.64
540,MF,0.2,1.51,0.13,0.0,29.1,49.7,0.79,135.8,1.12,0.0,1.12,18.4,1.12,1.64,1.71,1.25,1.78
541,MF,0.03,1.13,0.03,0.0,26.0,45.1,0.63,138.0,0.86,0.07,0.8,17.1,1.83,1.83,1.06,0.76,2.86
542,MF,0.0,1.51,0.0,0.03,23.1,46.3,2.38,228.6,3.25,0.14,1.04,19.7,0.58,1.94,2.38,0.64,0.58
543,MF,0.04,1.02,0.04,0.04,40.0,59.8,1.25,225.2,0.3,0.23,1.25,18.5,2.45,1.77,1.81,2.19,2.75
544,MF,0.37,1.06,0.25,0.11,35.6,52.4,0.64,162.6,0.16,0.27,1.22,15.5,1.22,0.8,1.22,1.44,1.17
545,MF,0.0,0.19,0.0,0.0,59.1,73.5,0.65,296.9,0.19,0.09,1.31,22.1,0.65,1.03,1.21,2.06,0.56
546,MF,0.12,1.67,0.07,0.15,35.8,59.6,1.31,164.5,1.19,0.33,1.13,22.9,1.04,1.58,1.99,2.65,1.79
547,MF,0.0,0.09,0.0,0.0,52.3,64.1,0.52,231.1,0.0,0.26,1.04,13.5,0.78,1.13,1.39,1.91,0.52
548,MF,0.09,1.37,0.07,0.06,42.6,67.8,0.72,163.3,0.62,0.31,1.56,18.2,1.87,1.15,1.93,2.18,3.64
549,MF,0.32,2.18,0.15,0.29,56.3,82.4,1.16,233.0,1.45,0.44,1.19,15.7,1.45,1.6,1.51,1.86,2.91
550,MF,0.0,0.93,0.0,0.0,45.0,64.5,0.23,123.5,1.74,0.12,1.51,15.9,2.44,1.05,1.05,1.98,1.98
551,MF,0.1,0.64,0.0,0.1,38.4,56.9,0.8,216.6,1.2,0.23,1.04,17.4,1.04,1.34,1.27,1.3,1.24
552,MF,0.0,0.56,0.0,0.0,34.4,49.2,0.28,116.4,0.56,0.28,1.39,33.3,0.28,0.56,0.83,1.11,1.39
553,MF,0.09,1.19,0.04,0.35,67.6,84.5,1.19,335.8,1.46,0.49,0.58,13.1,0.27,1.37,0.62,1.06,0.44
554,MF,0.0,2.56,0.0,0.0,36.4,58.5,0.77,165.1,1.28,0.0,0.77,20.0,0.77,1.03,1.03,1.28,1.28
555,MF,0.06,1.27,0.05,0.09,33.6,51.1,0.34,113.2,1.6,0.12,0.59,17.3,1.05,1.05,1.67,0.68,0.77
556,MF,0.0,1.08,0.0,0.0,38.4,57.2,0.68,182.6,0.54,0.0,1.08,23.8,0.81,0.41,2.03,4.19,1.49
557,MF,0.12,1.44,0.08,0.08,40.5,62.4,1.04,171.0,0.72,0.16,1.16,19.3,2.12,1.28,1.4,2.16,1.76
558,MF,0.07,1.49,0.05,0.07,33.7,53.9,0.27,140.5,0.95,0.2,1.22,17.2,1.82,0.81,1.15,2.09,0.68
559,MF,0.0,0.38,0.0,0.0,25.4,49.6,0.96,78.8,0.58,0.0,0.96,29.0,2.12,1.92,2.88,1.35,1.92
560,MF,0.0,1.65,0.0,0.0,24.5,47.6,1.1,161.2,0.44,0.0,1.87,28.1,1.76,1.32,1.1,2.31,2.31
561,MF,0.16,0.63,0.25,0.0,44.3,60.2,0.87,207.6,0.39,0.39,1.57,19.1,1.97,1.73,1.73,1.26,1.73
562,MF,0.0,0.83,0.0,0.0,42.1,62.1,1.88,246.0,0.21,0.0,1.25,26.7,1.04,1.67,0.63,1.25,2.29
563,MF,0.06,0.61,0.1,0.03,50.6,68.5,0.64,192.6,0.97,0.12,1.64,18.4,1.06,1.45,1.58,1.48,0.55
564,MF,0.0,0.83,0.0,0.06,36.2,51.5,0.48,123.6,0.42,0.12,2.5,30.2,1.25,1.43,0.71,2.2,0.95
