,Pos,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
273,MF,0.0,0.13,0.0,0.07,52.8,71.0,0.67,229.6,0.2,0.27,1.07,21.7,1.33,1.53,2.13,1.33,1.53
274,MF,0.0,0.41,0.0,0.0,44.1,57.6,0.2,150.0,0.41,0.0,1.63,26.1,0.61,1.02,1.02,2.86,1.22
275,MF,0.0,0.77,0.0,0.0,39.8,57.6,1.01,173.7,0.19,0.05,2.02,18.3,1.54,2.69,1.83,1.68,1.49
276,MF,0.09,1.52,0.06,0.09,31.1,48.2,1.25,152.3,0.36,0.27,0.89,17.8,0.98,2.05,0.71,2.05,1.25
277,MF,0.0,0.35,0.0,0.0,50.4,66.7,1.05,166.7,0.0,0.0,2.11,19.8,1.58,2.11,1.23,2.46,1.58
278,MF,0.0,0.86,0.0,0.0,26.3,48.3,2.29,140.0,0.0,0.0,2.57,30.0,1.14,0.86,1.14,4.0,2.0
279,MF,0.0,0.95,0.0,0.06,26.2,48.4,0.32,97.3,1.46,0.19,0.95,16.5,2.85,1.71,2.03,1.65,1.39
280,MF,0.19,1.8,0.11,0.34,63.0,83.9,1.03,315.4,1.92,0.61,0.69,15.8,0.23,0.84,1.11,0.65,0.42
281,MF,0.06,1.47,0.04,0.24,77.9,98.0,0.88,325.9,0.12,0.35,2.35,18.8,1.06,2.06,1.53,1.47,2.18
282,MF,0.16,1.87,0.09,0.0,44.8,66.1,0.49,248.6,0.98,0.0,2.44,24.5,1.22,1.22,1.22,2.93,2.36
283,MF,0.04,1.82,0.02,0.08,26.7,43.0,0.7,145.9,0.85,0.16,0.85,21.4,0.39,0.74,1.05,2.21,0.54
284,MF,0.0,0.29,0.0,0.08,31.2,50.8,0.66,158.0,0.25,0.25,2.51,26.7,1.65,1.73,1.89,1.6,0.49
285,MF,0.0,0.79,0.0,0.0,30.0,61.1,1.05,173.4,1.05,0.26,2.63,33.4,1.84,2.63,2.37,2.89,2.11
286,MF,0.0,0.22,0.0,0.0,46.0,63.8,1.11,168.7,0.44,0.22,1.78,17.6,2.22,3.11,1.11,1.33,1.56
287,MF,0.1,0.38,0.25,0.0,61.1,76.6,0.86,283.1,0.29,0.0,2.1,24.2,0.67,0.95,2.57,2.76,0.95
288,MF,0.07,0.59,0.11,0.03,46.7,70.8,0.52,204.7,0.56,0.13,2.55,22.4,2.06,2.48,2.52,2.45,3.86
289,MF,0.2,1.49,0.13,0.1,41.2,60.7,0.5,172.8,0.25,0.25,1.63,17.7,2.43,2.28,1.63,2.08,2.08
290,MF,0.0,1.25,0.0,0.17,32.0,53.5,1.32,168.5,0.84,0.37,1.25,21.5,0.81,1.59,1.82,2.4,1.05
291,MF,0.06,0.63,0.09,0.23,52.1,72.3,0.63,160.1,0.46,0.34,1.89,25.3,1.09,2.4,1.94,1.71,0.74
292,MF,0.12,2.32,0.05,0.0,35.5,57.2,1.71,278.3,1.95,0.12,0.91,16.2,0.91,0.85,1.04,0.67,0.3
293,MF,0.12,1.2,0.1,0.06,43.4,64.3,0.15,177.2,1.38,0.15,1.02,16.9,1.35,2.04,1.38,1.71,0.99
294,MF,0.05,1.25,0.04,0.0,29.7,47.7,1.09,187.9,1.36,0.38,1.25,17.9,1.25,1.74,1.47,1.74,0.43
295,MF,0.0,0.49,0.0,0.04,37.0,55.7,0.34,98.1,0.11,0.04,2.31,23.5,1.44,2.05,1.82,1.7,1.4
296,MF,0.0,0.83,0.0,0.0,18.6,38.6,0.48,87.0,0.12,0.12,1.19,16.4,2.26,2.14,2.62,2.38,2.74
297,MF,0.07,1.07,0.06,0.07,41.1,58.5,0.4,204.9,0.87,0.13,0.93,17.0,1.4,2.27,1.27,0.8,0.33
298,MF,0.09,1.02,0.09,0.0,29.0,47.6,0.79,149.3,0.28,0.05,2.37,18.0,2.05,1.67,1.58,2.33,2.56
299,MF,0.03,0.7,0.05,0.0,39.9,61.5,1.17,144.2,0.32,0.06,1.39,15.8,1.36,3.77,1.61,1.52,1.33
300,MF,0.0,0.71,0.0,0.0,49.3,67.5,0.89,195.0,0.18,0.0,2.32,25.2,1.43,1.96,1.79,2.5,3.04
301,MF,0.09,1.84,0.05,0.14,26.4,47.7,0.6,176.1,2.3,0.18,1.2,20.3,1.47,1.2,1.24,2.63,0.74
302,MF,0.1,1.19,0.08,0.1,25.1,40.8,1.39,150.7,0.5,0.2,0.4,20.2,1.09,2.08,1.49,0.69,1.09
303,MF,0.06,0.3,0.2,0.06,45.5,62.5,0.67,218.9,0.42,0.12,1.21,18.6,1.52,1.82,1.52,1.7,1.27
304,MF,0.09,2.1,0.04,0.34,47.7,68.6,1.36,324.3,2.07,0.62,1.02,13.0,0.4,1.05,0.96,1.05,0.68
305,MF,0.05,1.61,0.03,0.1,20.1,41.2,0.3,93.1,0.35,0.2,1.76,23.9,1.56,1.91,1.71,2.21,1.36
306,MF,0.0,1.47,0.0,0.18,35.1,51.7,0.83,192.2,0.92,0.28,0.73,18.3,1.56,0.83,1.65,1.28,0.92
307,MF,0.0,0.38,0.0,0.0,33.2,51.1,0.76,172.4,0.0,0.0,2.29,19.5,2.9,1.53,1.98,2.6,2.75
308,MF,0.19,0.93,0.2,0.0,37.4,55.2,0.93,118.9,1.11,0.0,1.67,18.5,0.93,1.67,1.3,2.04,1.11
309,MF,0.0,0.29,0.0,0.0,14.6,27.4,0.29,57.4,0.86,0.29,0.86,21.4,1.43,1.43,1.14,2.29,0.0
310,MF,0.0,0.16,0.0,0.0,33.0,48.6,0.86,146.3,0.43,0.04,1.25,20.3,1.17,1.95,1.4,1.52,1.17
311,MF,0.08,1.2,0.06,0.12,34.6,55.4,1.58,250.5,1.12,0.15,2.01,18.4,1.0,1.51,1.78,1.78,0.73
312,MF,0.1,1.42,0.07,0.26,41.9,65.8,1.81,204.4,0.55,0.61,1.29,20.8,0.97,1.42,2.06,1.42,1.29
313,MF,0.03,0.69,0.05,0.0,59.8,75.8,0.45,277.8,0.31,0.07,1.7,19.9,1.07,1.87,1.66,0.76,0.8
314,MF,0.0,1.67,0.0,0.0,28.8,51.0,0.24,217.4,2.14,0.0,0.71,18.1,0.71,0.71,1.43,1.43,1.9
315,MF,0.12,0.95,0.13,0.06,56.4,77.2,2.37,347.9,0.89,0.12,2.25,24.3,1.01,2.49,1.18,1.89,1.01
316,MF,0.06,0.89,0.07,0.0,45.7,65.3,1.13,163.5,0.42,0.06,2.08,16.8,0.77,1.73,1.73,1.85,1.25
317,MF,0.0,0.93,0.0,0.26,59.9,78.2,0.86,272.4,0.66,0.46,0.99,21.7,1.85,1.19,2.12,1.92,1.66
318,MF,0.0,0.63,0.0,0.08,51.6,69.7,0.31,229.1,0.31,0.23,2.11,22.3,1.41,2.89,1.64,2.03,1.8
319,MF,0.0,1.56,0.0,0.08,17.9,40.3,1.23,137.9,3.44,0.16,0.74,13.9,1.72,1.39,1.48,1.39,1.72
320,MF,0.0,0.0,0.0,0.0,51.8,71.8,0.29,195.0,0.59,0.29,2.06,25.6,2.35,2.35,1.76,1.47,1.18
321,MF,0.05,1.2,0.04,0.26,59.4,80.7,0.99,196.9,2.4,0.36,1.15,17.8,0.31,0.52,0.99,0.83,0.57
